,Unnamed: 0,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
55,55.0,56.0,1.0,1,"Woolner, Mr. Hugh",male,,0.0,0.0,19947,35.5,C52,S
56,56.0,57.0,1.0,2,"Rugg, Miss. Emily",female,21.0,0.0,0.0,C.A. 31026,10.5,,S
57,57.0,58.0,0.0,3,"Novel, Mr. Mansouer",male,28.5,0.0,0.0,2697,7.2292,,C
58,58.0,59.0,1.0,2,"West, Miss. Constance Mirium",female,5.0,1.0,2.0,C.A. 34651,27.75,,S
59,59.0,60.0,0.0,3,"Goodwin, Master. William Frederick",male,11.0,5.0,2.0,CA 2144,46.9,,S
60,60.0,61.0,0.0,3,"Sirayanian, Mr. Orsen",male,22.0,0.0,0.0,2669,7.2292,,C
61,61.0,62.0,1.0,?,"Icard, Miss. Amelie",female,38.0,0.0,0.0,113572,80.0,B28,
62,62.0,63.0,0.0,1,"Harris, Mr. Henry Birkhardt",male,45.0,1.0,0.0,36973,83.475,C83,S
63,63.0,64.0,0.0,3,"Skoog, Master. Harald",male,4.0,3.0,2.0,347088,27.9,,S
64,64.0,65.0,0.0,1,"Stewart, Mr. Albert A",male,,0.0,0.0,PC 17605,27.7208,,C
65,65.0,66.0,1.0,3,"Moubarek, Master. Gerios",male,,1.0,1.0,2661,15.2458,,C
66,66.0,67.0,1.0,2,"Nye, Mrs. (Elizabeth Ramell)",female,29.0,0.0,0.0,C.A. 29395,10.5,F33,S
67,67.0,68.0,0.0,3,"Crease, Mr. Ernest James",male,19.0,0.0,0.0,S.P. 3464,8.1583,,S
68,68.0,69.0,1.0,3,"Andersson, Miss. Erna Alexandra",female,17.0,4.0,2.0,3101281,7.925,,S
69,69.0,70.0,0.0,3,"Kink, Mr. Vincenz",male,26.0,2.0,0.0,315151,8.6625,,S
70,70.0,71.0,0.0,2,"Jenkin, Mr. Stephen Curnow",male,32.0,0.0,0.0,C.A. 33111,10.5,,S
71,71.0,72.0,0.0,3,"Goodwin, Miss. Lillian Amy",female,16.0,5.0,2.0,CA 2144,46.9,,S
72,72.0,73.0,0.0,2,"Hood, Mr. Ambrose Jr",male,21.0,0.0,0.0,S.O.C. 14879,73.5,,S
73,73.0,74.0,0.0,3,"Chronopoulos, Mr. Apostolos",male,26.0,1.0,0.0,2680,14.4542,,C
74,74.0,75.0,1.0,3,"Bing, Mr. Lee",male,32.0,0.0,0.0,1601,56.4958,,S
75,75.0,76.0,0.0,3,"Moen, Mr. Sigurd Hansen",male,25.0,0.0,0.0,348123,7.65,F G73,S
76,76.0,77.0,0.0,3,"Staneff, Mr. Ivan",male,,0.0,0.0,349208,7.8958,,S
77,77.0,78.0,0.0,3,"Moutal, Mr. Rahamin Haim",male,,0.0,0.0,374746,8.05,,S
78,78.0,79.0,1.0,2,"Caldwell, Master. Alden Gates",male,0.83,0.0,2.0,248738,29.0,,S
79,79.0,80.0,1.0,3,"Dowdell, Miss. Elizabeth",female,30.0,0.0,0.0,364516,12.475,,S
80,80.0,81.0,0.0,?,"Waelens, Mr. Achille",male,22.0,0.0,0.0,345767,9.0,,S
81,81.0,82.0,1.0,3,"Sheerlinck, Mr. Jan Baptist",male,29.0,0.0,0.0,345779,9.5,,S
82,82.0,83.0,1.0,3,"McDermott, Miss. Brigdet Delia",female,,0.0,0.0,330932,7.7875,,Q
83,83.0,84.0,0.0,1,"Carrau, Mr. Francisco M",male,28.0,0.0,0.0,113059,47.1,,S
84,84.0,85.0,1.0,2,"Ilett, Miss. Bertha",female,17.0,0.0,0.0,SO/C 14885,10.5,,S
85,85.0,86.0,1.0,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33.0,3.0,0.0,3101278,15.85,,S
86,86.0,87.0,0.0,3,"Ford, Mr. William Neal",male,16.0,1.0,3.0,W./C. 6608,34.375,,S
87,87.0,88.0,0.0,3,"Slocovski, Mr. Selman Francis",male,,0.0,0.0,SOTON/OQ 392086,8.05,,S
88,88.0,89.0,1.0,1,"Fortune, Miss. Mabel Helen",female,23.0,3.0,2.0,19950,263.0,C23 C25 C27,S
89,89.0,90.0,0.0,3,"Celotti, Mr. Francesco",male,24.0,0.0,0.0,343275,8.05,,S
90,90.0,91.0,0.0,3,"Christmann, Mr. Emil",male,29.0,0.0,0.0,343276,8.05,,S
91,91.0,92.0,0.0,3,"Andreasson, Mr. Paul Edvin",male,20.0,0.0,0.0,347466,7.8542,,S
92,92.0,93.0,0.0,1,"Chaffee, Mr. Herbert Fuller",male,46.0,1.0,0.0,W.E.P. 5734,61.175,E31,S
93,93.0,94.0,0.0,3,"Dean, Mr. Bertram Frank",male,26.0,1.0,2.0,C.A. 2315,20.575,,S
94,94.0,95.0,0.0,3,"Coxon, Mr. Daniel",male,59.0,0.0,0.0,364500,7.25,,S
95,95.0,96.0,0.0,3,"Shorney, Mr. Charles Joseph",male,,0.0,0.0,374910,8.05,,S
96,96.0,97.0,0.0,1,"Goldschmidt, Mr. George B",male,71.0,0.0,0.0,PC 17754,34.6542,A5,C
97,97.0,98.0,1.0,1,"Greenfield, Mr. William Bertram",male,23.0,0.0,1.0,PC 17759,63.3583,D10 D12,C
98,98.0,99.0,1.0,2,"Doling, Mrs. John T (Ada Julia Bone)",female,34.0,0.0,1.0,231919,23.0,,S
99,99.0,100.0,0.0,2,"Kantor, Mr. Sinai",male,34.0,1.0,0.0,244367,26.0,,S
100,100.0,101.0,0.0,3,"Petranec, Miss. Matilda",female,28.0,0.0,0.0,349245,7.8958,,S
101,101.0,102.0,0.0,3,"Petroff, Mr. Pastcho (""Pentcho"")",male,,0.0,0.0,349215,7.8958,,S
102,102.0,103.0,0.0,1,"White, Mr. Richard Frasar",male,21.0,0.0,1.0,35281,77.2875,D26,S
103,103.0,104.0,0.0,3,"Johansson, Mr. Gustaf Joel",male,33.0,0.0,0.0,7540,8.6542,,S
104,104.0,105.0,0.0,3,"Gustafsson, Mr. Anders Vilhelm",male,37.0,2.0,0.0,3101276,7.925,,S
105,105.0,106.0,0.0,3,"Mionoff, Mr. Stoytcho",male,28.0,0.0,0.0,349207,7.8958,,S
106,106.0,107.0,1.0,3,"Salkjelsvik, Miss. Anna Kristine",female,21.0,0.0,0.0,343120,7.65,,S
107,107.0,108.0,1.0,3,"Moss, Mr. Albert Johan",male,,0.0,0.0,312991,7.775,,S
108,108.0,109.0,0.0,3,"Rekic, Mr. Tido",male,38.0,0.0,0.0,349249,7.8958,,S
109,109.0,110.0,1.0,3,"Moran, Miss. Bertha",female,,1.0,0.0,371110,24.15,,Q
110,110.0,111.0,0.0,1,"Porter, Mr. Walter Chamberlain",male,47.0,0.0,0.0,110465,52.0,C110,S
111,111.0,112.0,0.0,3,"Zabour, Miss. Hileni",female,14.5,1.0,0.0,2665,14.4542,,C
112,112.0,113.0,0.0,3,"Barton, Mr. David John",male,22.0,0.0,0.0,324669,8.05,,S
113,113.0,114.0,0.0,3,"Jussila, Miss. Katriina",female,20.0,1.0,0.0,4136,9.825,,S
114,114.0,115.0,0.0,3,"Attalah, Miss. Malake",female,17.0,0.0,0.0,2627,14.4583,,C
115,115.0,116.0,0.0,3,"Pekoniemi, Mr. Edvard",male,21.0,0.0,0.0,STON/O 2. 3101294,7.925,,S
116,116.0,117.0,0.0,3,"Connors, Mr. Patrick",male,70.5,0.0,0.0,370369,7.75,,Q
117,117.0,118.0,0.0,2,"Turpin, Mr. William John Robert",male,29.0,1.0,0.0,11668,21.0,,S
118,118.0,119.0,0.0,1,"Baxter, Mr. Quigg Edmond",male,24.0,0.0,1.0,PC 17558,247.5208,B58 B60,C
119,119.0,120.0,0.0,?,"Andersson, Miss. Ellis Anna Maria",female,2.0,4.0,2.0,347082,31.275,,S
120,120.0,121.0,0.0,2,"Hickman, Mr. Stanley George",male,21.0,2.0,0.0,S.O.C. 14879,73.5,,S
121,121.0,122.0,0.0,3,"Moore, Mr. Leonard Charles",male,,0.0,0.0,A4. 54510,8.05,,S
122,122.0,123.0,0.0,2,"Nasser, Mr. Nicholas",male,32.5,1.0,0.0,237736,30.0708,,C
123,123.0,124.0,1.0,2,"Webber, Miss. Susan",female,32.5,0.0,0.0,27267,13.0,E101,S
124,124.0,125.0,0.0,1,"White, Mr. Percival Wayland",male,54.0,0.0,1.0,35281,77.2875,D26,S
125,125.0,126.0,1.0,3,"Nicola-Yarred, Master. Elias",male,12.0,1.0,0.0,2651,11.2417,,C
126,126.0,127.0,0.0,3,"McMahon, Mr. Martin",male,,0.0,0.0,370372,7.75,,Q
127,127.0,128.0,1.0,3,"Madsen, Mr. Fridtjof Arne",male,24.0,0.0,0.0,C 17369,7.1417,,S
128,128.0,129.0,1.0,3,"Peter, Miss. Anna",female,,1.0,1.0,2668,22.3583,F E69,C
129,129.0,130.0,0.0,3,"Ekstrom, Mr. Johan",male,45.0,0.0,0.0,347061,6.975,,S
130,130.0,131.0,0.0,3,"Drazenoic, Mr. Jozef",male,33.0,0.0,0.0,349241,7.8958,,C
131,131.0,132.0,0.0,3,"Coelho, Mr. Domingos Fernandeo",male,20.0,0.0,0.0,SOTON/O.Q. 3101307,7.05,,S
132,132.0,133.0,0.0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47.0,1.0,0.0,A/5. 3337,14.5,,S
133,133.0,134.0,1.0,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29.0,1.0,0.0,228414,26.0,,S
134,134.0,135.0,0.0,2,"Sobey, Mr. Samuel James Hayden",male,25.0,0.0,0.0,C.A. 29178,13.0,,S
135,135.0,136.0,0.0,2,"Richard, Mr. Emile",male,23.0,0.0,0.0,SC/PARIS 2133,15.0458,,C
136,136.0,137.0,1.0,1,"Newsom, Miss. Helen Monypeny",female,19.0,0.0,2.0,11752,26.2833,D47,S
137,137.0,138.0,0.0,1,"Futrelle, Mr. Jacques Heath",male,37.0,1.0,0.0,113803,53.1,C123,S
138,138.0,139.0,0.0,3,"Osen, Mr. Olaf Elon",male,16.0,0.0,0.0,7534,9.2167,,S
139,139.0,140.0,0.0,1,"Giglio, Mr. Victor",male,24.0,0.0,0.0,PC 17593,79.2,B86,C
140,140.0,141.0,0.0,3,"Boulos, Mrs. Joseph (Sultana)",female,,0.0,2.0,2678,15.2458,,C
141,141.0,142.0,1.0,3,"Nysten, Miss. Anna Sofia",female,22.0,0.0,0.0,347081,7.75,,S
142,142.0,143.0,1.0,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24.0,1.0,0.0,STON/O2. 3101279,15.85,,S
143,143.0,144.0,0.0,3,"Burke, Mr. Jeremiah",male,19.0,0.0,0.0,365222,6.75,,Q
144,144.0,145.0,0.0,2,"Andrew, Mr. Edgardo Samuel",male,18.0,0.0,0.0,231945,11.5,,S
145,145.0,146.0,0.0,2,"Nicholls, Mr. Joseph Charles",male,19.0,1.0,1.0,C.A. 33112,36.75,,S
146,146.0,147.0,1.0,?,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27.0,0.0,0.0,350043,7.7958,,S
147,147.0,148.0,0.0,3,"Ford, Miss. Robina Maggie ""Ruby""",female,9.0,2.0,2.0,W./C. 6608,34.375,,S
148,148.0,149.0,0.0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36.5,0.0,2.0,230080,26.0,F2,S
149,149.0,150.0,0.0,2,"Byles, Rev. Thomas Roussel Davids",male,42.0,0.0,0.0,244310,13.0,,S
150,150.0,151.0,0.0,2,"Bateman, Rev. Robert James",male,51.0,0.0,0.0,S.O.P. 1166,12.525,,S
151,151.0,152.0,1.0,1,"Pears, Mrs. Thomas (Edith Wearne)",female,22.0,1.0,0.0,113776,66.6,C2,S
152,152.0,153.0,0.0,3,"Meo, Mr. Alfonzo",male,55.5,0.0,0.0,A.5. 11206,8.05,,S
153,153.0,154.0,0.0,3,"van Billiard, Mr. Austin Blyler",male,40.5,0.0,2.0,A/5. 851,14.5,,S
154,154.0,155.0,0.0,3,"Olsen, Mr. Ole Martin",male,,0.0,0.0,Fa 265302,7.3125,,S
155,155.0,156.0,0.0,1,"Williams, Mr. Charles Duane",male,51.0,0.0,1.0,PC 17597,61.3792,,C
156,156.0,157.0,1.0,3,"Gilnagh, Miss. Katherine ""Katie""",female,16.0,0.0,0.0,35851,7.7333,,Q
157,157.0,158.0,0.0,3,"Corn, Mr. Harry",male,30.0,0.0,0.0,SOTON/OQ 392090,8.05,,S
158,158.0,159.0,0.0,3,"Smiljanic, Mr. Mile",male,,0.0,0.0,315037,8.6625,,S
159,159.0,160.0,0.0,3,"Sage, Master. Thomas Henry",male,,8.0,2.0,CA. 2343,69.55,,S
160,160.0,161.0,0.0,3,"Cribb, Mr. John Hatfield",male,44.0,0.0,1.0,371362,16.1,,S
161,161.0,162.0,1.0,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40.0,0.0,0.0,C.A. 33595,15.75,,S
162,162.0,163.0,0.0,3,"Bengtsson, Mr. John Viktor",male,26.0,0.0,0.0,347068,7.775,,S
163,163.0,164.0,0.0,3,"Calic, Mr. Jovo",male,17.0,0.0,0.0,315093,8.6625,,S
164,164.0,165.0,0.0,3,"Panula, Master. Eino Viljami",male,1.0,4.0,1.0,3101295,39.6875,,S
165,165.0,166.0,1.0,3,"Goldsmith, Master. Frank John William ""Frankie""",male,9.0,0.0,2.0,363291,20.525,,S
166,166.0,167.0,1.0,1,"Chibnall, Mrs. (Edith Martha Bowerman)",female,,0.0,1.0,113505,55.0,E33,S
167,167.0,168.0,0.0,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,45.0,1.0,4.0,347088,27.9,,S
168,168.0,169.0,0.0,1,"Baumann, Mr. John D",male,,0.0,0.0,PC 17318,25.925,,S
169,169.0,170.0,0.0,3,"Ling, Mr. Lee",male,28.0,0.0,0.0,1601,56.4958,,S
170,170.0,171.0,0.0,1,"Van der hoef, Mr. Wyckoff",male,61.0,0.0,0.0,111240,33.5,B19,S
171,171.0,172.0,0.0,3,"Rice, Master. Arthur",male,4.0,4.0,1.0,382652,29.125,,Q
172,172.0,173.0,1.0,3,"Johnson, Miss. Eleanor Ileen",female,1.0,1.0,1.0,347742,11.1333,,S
173,173.0,174.0,0.0,3,"Sivola, Mr. Antti Wilhelm",male,21.0,0.0,0.0,STON/O 2. 3101280,7.925,,S
174,174.0,175.0,0.0,1,"Smith, Mr. James Clinch",male,56.0,0.0,0.0,17764,30.6958,A7,C
175,175.0,176.0,0.0,3,"Klasen, Mr. Klas Albin",male,18.0,1.0,1.0,350404,7.8542,,S
176,176.0,177.0,0.0,3,"Lefebre, Master. Henry Forbes",male,,3.0,1.0,4133,25.4667,,S
177,177.0,178.0,0.0,1,"Isham, Miss. Ann Elizabeth",female,50.0,0.0,0.0,PC 17595,28.7125,C49,C
178,178.0,179.0,0.0,2,"Hale, Mr. Reginald",male,30.0,0.0,0.0,250653,13.0,,S
179,179.0,180.0,0.0,3,"Leonard, Mr. Lionel",male,36.0,0.0,0.0,LINE,0.0,,S
180,180.0,181.0,0.0,?,"Sage, Miss. Constance Gladys",female,,8.0,2.0,CA. 2343,69.55,,S
181,181.0,182.0,0.0,2,"Pernot, Mr. Rene",male,,0.0,0.0,SC/PARIS 2131,15.05,,C
182,182.0,183.0,0.0,3,"Asplund, Master. Clarence Gustaf Hugo",male,9.0,4.0,2.0,347077,31.3875,,S
183,183.0,184.0,1.0,2,"Becker, Master. Richard F",male,1.0,2.0,1.0,230136,39.0,F4,S
184,184.0,185.0,1.0,3,"Kink-Heilmann, Miss. Luise Gretchen",female,4.0,0.0,2.0,315153,22.025,,S
185,185.0,186.0,0.0,1,"Rood, Mr. Hugh Roscoe",male,,0.0,0.0,113767,50.0,A32,S
186,186.0,187.0,1.0,3,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,,1.0,0.0,370365,15.5,,Q
187,187.0,188.0,1.0,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,45.0,0.0,0.0,111428,26.55,,S
188,188.0,189.0,0.0,3,"Bourke, Mr. John",male,40.0,1.0,1.0,364849,15.5,,Q
189,189.0,190.0,0.0,3,"Turcin, Mr. Stjepan",male,36.0,0.0,0.0,349247,7.8958,,S
190,190.0,191.0,1.0,2,"Pinsky, Mrs. (Rosa)",female,32.0,0.0,0.0,234604,13.0,,S
191,191.0,192.0,0.0,2,"Carbines, Mr. William",male,19.0,0.0,0.0,28424,13.0,,S
192,192.0,193.0,1.0,3,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19.0,1.0,0.0,350046,7.8542,,S
193,193.0,194.0,1.0,2,"Navratil, Master. Michel M",male,3.0,1.0,1.0,230080,26.0,F2,S
194,194.0,195.0,1.0,1,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44.0,0.0,0.0,PC 17610,27.7208,B4,C
195,195.0,196.0,1.0,1,"Lurette, Miss. Elise",female,58.0,0.0,0.0,PC 17569,146.5208,B80,C
196,196.0,197.0,0.0,3,"Mernagh, Mr. Robert",male,,0.0,0.0,368703,7.75,,Q
197,197.0,198.0,0.0,3,"Olsen, Mr. Karl Siegwart Andreas",male,42.0,0.0,1.0,4579,8.4042,,S
198,198.0,199.0,1.0,3,"Madigan, Miss. Margaret ""Maggie""",female,,0.0,0.0,370370,7.75,,Q
199,199.0,200.0,0.0,2,"Yrois, Miss. Henriette (""Mrs Harbeck"")",female,24.0,0.0,0.0,248747,13.0,,S
200,200.0,201.0,0.0,3,"Vande Walle, Mr. Nestor Cyriel",male,28.0,0.0,0.0,345770,9.5,,S
201,201.0,202.0,0.0,3,"Sage, Mr. Frederick",male,,8.0,2.0,CA. 2343,69.55,,S
202,202.0,203.0,0.0,3,"Johanson, Mr. Jakob Alfred",male,34.0,0.0,0.0,3101264,6.4958,,S
203,203.0,204.0,0.0,3,"Youseff, Mr. Gerious",male,45.5,0.0,0.0,2628,7.225,,C
204,204.0,205.0,1.0,3,"Cohen, Mr. Gurshon ""Gus""",male,18.0,0.0,0.0,A/5 3540,8.05,,S
205,205.0,206.0,0.0,3,"Strom, Miss. Telma Matilda",female,2.0,0.0,1.0,347054,10.4625,G6,S
206,206.0,207.0,0.0,3,"Backstrom, Mr. Karl Alfred",male,32.0,1.0,0.0,3101278,15.85,,S
207,207.0,208.0,1.0,3,"Albimona, Mr. Nassef Cassem",male,26.0,0.0,0.0,2699,18.7875,,C
208,208.0,209.0,1.0,3,"Carr, Miss. Helen ""Ellen""",female,16.0,0.0,0.0,367231,7.75,,Q
209,209.0,210.0,1.0,1,"Blank, Mr. Henry",male,40.0,0.0,0.0,112277,31.0,A31,C
210,210.0,211.0,0.0,3,"Ali, Mr. Ahmed",male,24.0,0.0,0.0,SOTON/O.Q. 3101311,7.05,,S
211,211.0,212.0,1.0,2,"Cameron, Miss. Clear Annie",female,35.0,0.0,0.0,F.C.C. 13528,21.0,,S
212,212.0,213.0,0.0,3,"Perkin, Mr. John Henry",male,22.0,0.0,0.0,A/5 21174,7.25,,S
213,213.0,214.0,0.0,2,"Givard, Mr. Hans Kristensen",male,30.0,0.0,0.0,250646,13.0,,S
214,214.0,215.0,0.0,3,"Kiernan, Mr. Philip",male,,1.0,0.0,367229,7.75,,Q
215,215.0,216.0,1.0,1,"Newell, Miss. Madeleine",female,31.0,1.0,0.0,35273,113.275,D36,C
216,216.0,217.0,1.0,3,"Honkanen, Miss. Eliina",female,27.0,0.0,0.0,STON/O2. 3101283,7.925,,S
217,217.0,218.0,0.0,2,"Jacobsohn, Mr. Sidney Samuel",male,42.0,1.0,0.0,243847,27.0,,S
218,218.0,219.0,1.0,1,"Bazzani, Miss. Albina",female,32.0,0.0,0.0,11813,76.2917,D15,C
219,219.0,220.0,0.0,2,"Harris, Mr. Walter",male,30.0,0.0,0.0,W/C 14208,10.5,,S
220,220.0,221.0,1.0,3,"Sunderland, Mr. Victor Francis",male,16.0,0.0,0.0,SOTON/OQ 392089,8.05,,S
221,221.0,222.0,0.0,?,"Bracken, Mr. James H",male,27.0,0.0,0.0,220367,13.0,,S
222,222.0,223.0,0.0,3,"Green, Mr. George Henry",male,51.0,0.0,0.0,21440,8.05,,S
223,223.0,224.0,0.0,3,"Nenkoff, Mr. Christo",male,,0.0,0.0,349234,7.8958,,S
224,224.0,225.0,1.0,1,"Hoyt, Mr. Frederick Maxfield",male,38.0,1.0,0.0,19943,90.0,C93,S
225,225.0,226.0,0.0,3,"Berglund, Mr. Karl Ivar Sven",male,22.0,0.0,0.0,PP 4348,9.35,,S
226,226.0,227.0,1.0,2,"Mellors, Mr. William John",male,19.0,0.0,0.0,SW/PP 751,10.5,,S
227,227.0,228.0,0.0,3,"Lovell, Mr. John Hall (""Henry"")",male,20.5,0.0,0.0,A/5 21173,7.25,,S
